size,similarite,recall,precision
20,0.15,0.21223579535730838,0.14597261241774814
20,0.2,0.16128503297173663,0.20345366228463393
20,0.25,0.1132883143101325,0.22491856434164126
20,0.3,0.08249022734350213,0.2100274725274725
20,0.35,0.057044683902269036,0.14711538461538462
20,0.4,0.052450336041667316,0.16346153846153846
20,0.45,0.044433017962429724,0.08653846153846154
20,0.5,0.04058686411627588,0.07692307692307693
21,0.05,0.2295833214935305,0.1199633699633699
21,0.1,0.2295833214935305,0.12318376068376061
21,0.15,0.21278524590675893,0.1439121728573086
21,0.2,0.1618344835211872,0.20327051210148375
21,0.25,0.1132883143101325,0.22491856434164126
21,0.3,0.08249022734350213,0.2100274725274725
21,0.35,0.057044683902269036,0.14711538461538462
21,0.4,0.052450336041667316,0.16346153846153846
21,0.45,0.044433017962429724,0.08653846153846154
21,0.5,0.04058686411627588,0.07692307692307693
22,0.05,0.23198716764737665,0.11538461538461543
22,0.1,0.23198716764737665,0.11881313131313131
22,0.15,0.21278524590675893,0.141289795234931
22,0.2,0.1618344835211872,0.2022298860608577
22,0.25,0.1132883143101325,0.22491856434164126
22,0.3,0.08249022734350213,0.2100274725274725
22,0.35,0.057044683902269036,0.14711538461538462
22,0.4,0.052450336041667316,0.16346153846153846
22,0.45,0.044433017962429724,0.08653846153846154
22,0.5,0.04058686411627588,0.07692307692307693
23,0.05,0.23486923253209407,0.11287625418060208
23,0.1,0.23486923253209407,0.11649479747305838
23,0.15,0.21492766582106215,0.14071971314310977
23,0.2,0.162497613494662,0.20230589700643392
23,0.25,0.1132883143101325,0.22491856434164126
23,0.3,0.08249022734350213,0.2100274725274725
23,0.35,0.057044683902269036,0.14711538461538462
23,0.4,0.052450336041667316,0.16346153846153846
23,0.45,0.044433017962429724,0.08653846153846154
23,0.5,0.04058686411627588,0.07692307692307693
24,0.05,0.23592664286369794,0.10977564102564104
24,0.1,0.23592664286369794,0.11356837606837604
24,0.15,0.21492766582106215,0.1386294121397653
24,0.2,0.162497613494662,0.2015742916552633
24,0.25,0.1132883143101325,0.22491856434164126
24,0.3,0.08249022734350213,0.2100274725274725
24,0.35,0.057044683902269036,0.14711538461538462
24,0.4,0.052450336041667316,0.16346153846153846
24,0.45,0.044433017962429724,0.08653846153846154
24,0.5,0.04058686411627588,0.07692307692307693
25,0.05,0.23747351471417513,0.10769230769230774
25,0.1,0.23747351471417513,0.11174145299145301
25,0.15,0.21585419027699837,0.13824479675514992
25,0.2,0.16304706404411254,0.20189480447577615
25,0.25,0.1132883143101325,0.22491856434164126
25,0.3,0.08249022734350213,0.2100274725274725
25,0.35,0.057044683902269036,0.14711538461538462
25,0.4,0.052450336041667316,0.16346153846153846
25,0.45,0.044433017962429724,0.08653846153846154
25,0.5,0.04058686411627588,0.07692307692307693
26,0.05,0.2390760788167392,0.10502958579881655
26,0.1,0.2390760788167392,0.1093154174884944
26,0.15,0.21585419027699837,0.13641047722852268
26,0.2,0.16304706404411254,0.20151018909116075
26,0.25,0.1132883143101325,0.22491856434164126
26,0.3,0.08249022734350213,0.2100274725274725
26,0.35,0.057044683902269036,0.14711538461538462
26,0.4,0.052450336041667316,0.16346153846153846
26,0.45,0.044433017962429724,0.08653846153846154
26,0.5,0.04058686411627588,0.07692307692307693
27,0.05,0.24245089027978597,0.10327635327635327
27,0.1,0.24245089027978597,0.10791831032215646
27,0.15,0.217626437637481,0.1361365346468878
27,0.2,0.16304706404411254,0.20115406373503542
27,0.25,0.1132883143101325,0.22491856434164126
27,0.3,0.08249022734350213,0.2100274725274725
27,0.35,0.057044683902269036,0.14711538461538462
27,0.4,0.052450336041667316,0.16346153846153846
27,0.45,0.044433017962429724,0.08653846153846154
27,0.5,0.04058686411627588,0.07692307692307693
28,0.05,0.24587283598114346,0.10164835164835163
28,0.1,0.24587283598114346,0.10662099652484266
28,0.15,0.21864453718499233,0.13603478454513768
28,0.2,0.16304706404411254,0.20082337590434757
28,0.25,0.1132883143101325,0.22491856434164126
28,0.3,0.08249022734350213,0.2100274725274725
28,0.35,0.057044683902269036,0.14711538461538462
28,0.4,0.052450336041667316,0.16346153846153846
28,0.45,0.044433017962429724,0.08653846153846154
28,0.5,0.04058686411627588,0.07692307692307693
29,0.05,0.246891329682564,0.09946949602122016
29,0.1,0.246422286530594,0.1040868926976354
29,0.15,0.21919398773444287,0.1353006049316477
29,0.2,0.16359651459356309,0.20117862410442333
29,0.25,0.1132883143101325,0.22491856434164126
29,0.3,0.08249022734350213,0.2100274725274725
29,0.35,0.057044683902269036,0.14711538461538462
29,0.4,0.052450336041667316,0.16346153846153846
29,0.45,0.044433017962429724,0.08653846153846154
29,0.5,0.04058686411627588,0.07692307692307693
30,0.05,0.2488709676916138,0.09743589743589745
30,0.1,0.2484019245396438,0.10236275476660094
30,0.15,0.21957106164092854,0.13461537062572376
30,0.2,0.16359651459356309,0.2008691634501351
30,0.25,0.1132883143101325,0.22491856434164126
30,0.3,0.08249022734350213,0.2100274725274725
30,0.35,0.057044683902269036,0.14711538461538462
30,0.4,0.052450336041667316,0.16346153846153846
30,0.45,0.044433017962429724,0.08653846153846154
30,0.5,0.04058686411627588,0.07692307692307693
